time,binance,benchmark,target,kalshi_p_up,jr_forecast,jr_p_up,dir
01:41:31,59291.3,59269.12,59250.44,0.605,59273.69,0.6534,UP
01:41:36,59291.3,59269.12,59250.44,0.605,59273.69,0.6534,UP
01:41:37,59291.3,59263.88,59250.44,0.605,59268.45,0.62,UP
01:41:42,59291.3,59263.88,59250.44,0.605,59268.45,0.62,UP
01:41:43,59291.3,59263.88,59250.44,0.605,59268.45,0.62,UP
01:41:48,59291.3,59263.88,59250.44,0.605,59268.45,0.62,UP
01:41:49,59291.3,59252.17,59250.44,0.605,59256.2,0.5494,UP
01:41:54,59353.68,59253.43,59250.44,0.605,59268.25,0.6495,UP
01:41:58,59353.68,59253.43,59250.44,0.605,59268.25,0.6495,UP
01:41:59,59353.68,59253.43,59250.44,0.605,59268.25,0.6495,UP
01:42:00,59353.68,59260.68,59250.44,0.605,59275.5,0.7055,UP
01:42:04,59353.68,59260.68,59250.44,0.605,59275.5,0.7055,UP
01:42:05,59353.68,59266.63,59250.44,0.7,59281.45,0.7481,UP
01:42:10,59353.68,59266.63,59250.44,0.7,59281.45,0.7481,UP
01:42:11,59346.87,59271.99,59250.44,0.7,59285.69,0.7763,UP
01:42:16,59292.31,59217.42,59250.44,0.7,59226.83,0.3054,DOWN
01:42:17,59281.85,59217.9,59250.44,0.7,59220.92,0.2623,DOWN
01:42:21,59258.16,59194.21,59250.44,0.7,59195.23,0.117,DOWN
01:42:22,59280.64,59184.57,59250.44,0.7,59191.19,0.1008,DOWN
01:42:27,59280.64,59198.03,59250.44,0.7,59202.45,0.1026,DOWN
01:42:33,59280.64,59206.08,59250.44,0.185,59210.5,0.1458,DOWN
01:42:38,59280.64,59206.08,59250.44,0.185,59210.5,0.1458,DOWN
01:42:39,59280.64,59210.7,59250.44,0.185,59215.12,0.1755,DOWN
01:42:43,59280.64,59210.7,59250.44,0.185,59215.12,0.1755,DOWN
01:42:44,59280.64,59200.74,59250.44,0.185,59205.16,0.116,DOWN
01:42:49,59280.64,59200.74,59250.44,0.185,59205.16,0.116,DOWN
01:42:50,59280.64,59187.38,59250.44,0.185,59191.8,0.0608,DOWN
01:42:55,59280.64,59187.38,59250.44,0.185,59191.8,0.0608,DOWN
01:42:56,59280.64,59180.72,59250.44,0.185,59185.14,0.0424,DOWN
01:43:00,59280.64,59180.72,59250.44,0.185,59185.14,0.0424,DOWN
01:43:01,59288.02,59180.79,59250.44,0.053,59183.54,0.0387,DOWN
01:43:06,59288.02,59180.79,59250.44,0.053,59183.54,0.0387,DOWN
01:43:07,59288.02,59188.15,59250.44,0.053,59190.89,0.058,DOWN
01:43:12,59288.02,59189.63,59250.44,0.053,59192.38,0.0627,DOWN
01:43:18,59288.02,59214.69,59250.44,0.053,59217.44,0.1918,DOWN
01:43:23,59288.02,59221.18,59250.44,0.053,59223.93,0.242,DOWN
01:43:28,59288.02,59232.25,59250.44,0.053,59231.79,0.2706,DOWN
01:43:34,59288.02,59232.72,59250.44,0.053,59232.26,0.2757,DOWN
01:43:38,59288.02,59232.72,59250.44,0.053,59232.26,0.2757,DOWN
01:43:39,59288.02,59233.71,59250.44,0.053,59233.25,0.2867,DOWN
01:43:45,59288.02,59229.82,59250.44,0.22,59229.36,0.2449,DOWN
01:43:50,59288.02,59232.36,59250.44,0.22,59231.91,0.2718,DOWN
01:43:55,59288.02,59228.02,59250.44,0.22,59227.57,0.2268,DOWN
01:44:00,59288.02,59218.99,59250.44,0.22,59218.53,0.1479,DOWN
01:44:05,59288.02,59218.99,59250.44,0.22,59218.53,0.1479,DOWN
01:44:06,59288.02,59227.86,59250.44,0.075,59227.41,0.2252,DOWN
01:44:12,59288.02,59230.91,59250.44,0.075,59230.45,0.2563,DOWN
01:44:17,59288.02,59226.9,59250.44,0.075,59226.44,0.2158,DOWN
01:44:23,59288.02,59229.61,59250.44,0.075,59229.16,0.2428,DOWN
01:44:27,59288.02,59229.61,59250.44,0.075,59229.16,0.2428,DOWN
01:44:28,59288.02,59229.61,59250.44,0.075,59229.16,0.2428,DOWN
01:44:29,59288.02,59236.45,59250.44,0.075,59235.99,0.318,DOWN
01:44:34,59288.02,59236.45,59250.44,0.075,59235.99,0.318,DOWN
01:44:35,59288.02,59234.05,59250.44,0.0115,59233.59,0.2905,DOWN
01:44:39,59288.02,59234.05,59250.44,0.0115,59233.59,0.2905,DOWN
01:44:40,59288.02,59235.45,59250.44,0.0115,59234.99,0.3064,DOWN
01:44:45,59288.02,59235.45,59250.44,0.0115,59234.99,0.3064,DOWN
01:44:46,59288.02,59220.66,59250.44,0.0115,59220.21,0.1609,DOWN
01:44:51,59288.02,59233.3,59250.44,0.0115,59232.85,0.2822,DOWN
01:44:57,59288.02,59230.98,59250.44,0.0115,59230.53,0.257,DOWN
